site.num,Aster,Polygonum,Hydrangea,Arabidopsis,Achillea,Asclepias,Campanula,Echinacea,Helianthus,Rudbeckia,Salvia,Rose,Dandelion,Violet_pansy,Tulip,Petunia,NEIGHBORHOOD,YardType,lat,long,UTM_lon,UTM_lat,Zone_EW
94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,POWDER HOUSE SQUARE,Conventional,42.39287,-71.10721,326559.8195,4695548.447,5
95,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,POWDER HOUSE SQUARE,Pollinator,42.39252,-71.10701,326575.3177,4695509.173,4
96,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,PROPSECT HILL,Pollinator,42.38149,-71.09152,327820.1736,4694252.856,9
97,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,PROPSECT HILL,Pollinator,42.38117,-71.09214,327768.2564,4694218.579,9
98,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,TEN HILLS,Conventional,42.39736,-71.08709,328228.1748,4696006.144,10
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WARD HILL,Conventional,42.37825,-71.10303,326863.6934,4693916.467,7
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EAST SOMERVILLE,Conventional,42.38746,-71.08576,328310.6478,4694904.127,10
101,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,SPRING HILL,Conventional,42.38986,-71.11528,325887.2432,4695230.716,3
102,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,WINTER HILL,Pollinator,42.39157,-71.09524,327541.526,4695379.718,8
103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,SPRING HILL,Pollinator,42.3844798,-71.1000029,327130.0146,4694602.08,7
104,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,SPRING HILL,Pollinator,42.3929,-71.11881,325605.0899,4695575.529,2
105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,WEST SOMERVILLE,Conventional,42.4107391,-71.129697,324758.6397,4697578.86,1
106,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,SPRING HILL,Pollinator,42.39111,-71.11414,325984.5372,4695367.184,3
109,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,WEST SOMERVILLE,Conventional,42.40546,-71.1246,325163.3955,4696982.142,1
110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,TEN HILLS,Conventional,42.3985717,-71.0875587,328192.9052,4696141.643,9
112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,WINTER HILL,Pollinator,42.39029,-71.09171,327828.5911,4695230.422,9
113,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,WINTER HILL,Conventional,42.38765,-71.0928,327731.646,4694939.477,9
114,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,PROPSECT HILL,Conventional,42.37882,-71.09592,327450.6245,4693965.298,8
115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,POWDER HOUSE SQUARE,Conventional,42.39953,-71.11342,326067.067,4696300.695,4
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,SPRING HILL,Conventional,42.39319,-71.11575,325857.765,4695601.454,3
117,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,DAVIS SQUARE,Conventional,42.39634,-71.11936,325569.3498,4695958.649,2
118,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,EAST SOMERVILLE,Pollinator,42.38856,-71.08455,328413.2503,4695023.829,10
119,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,EAST SOMERVILLE,Conventional,42.38829,-71.08424,328438.0329,4694993.222,10
