"Date","Species","Area","meanITD"
1947,"B.hortorum","Austria",6.025
1947,"B.lapidarius","England",5.87
1947,"B.pascuorum","Austria",5.25333333333333
1947,"B.pascuorum","Belgium",5.19
1947,"B.pratorum","Belgium",5.435
1947,"B.pratorum","England",5.45666666666667
1948,"B.hortorum","England",5.86
1948,"B.lapidarius","Austria",6.256
1948,"B.pascuorum","Belgium",5.23666666666667
1948,"B.pascuorum","England",5.2
1949,"B.hortorum","Austria",5.9825
1949,"B.hortorum","England",5.705
1949,"B.lapidarius","England",5.82666666666667
1949,"B.pratorum","Austria",5.11333333333333
1949,"B.pratorum","England",5.46666666666667
1950,"B.pascuorum","Belgium",4.944
1950,"B.pratorum","Belgium",5.203
1951,"B.lapidarius","Austria",6.37333333333333
1951,"B.pascuorum","Austria",5.3425
1951,"B.pratorum","Austria",5.41
1952,"B.hortorum","Austria",5.82
1952,"B.hortorum","England",5.67333333333333
1952,"B.lapidarius","Austria",6.22666666666667
1952,"B.lapidarius","Belgium",6.13666666666667
1952,"B.lapidarius","England",5.97333333333333
1952,"B.pascuorum","Austria",5.22333333333333
1952,"B.pratorum","Austria",5.31
1952,"B.pratorum","Belgium",5.26666666666667
1952,"B.pratorum","England",5.58
1953,"B.hortorum","Austria",5.85333333333333
1953,"B.hortorum","England",5.64
1953,"B.lapidarius","Austria",6.25142857142857
1953,"B.lapidarius","Belgium",6.42
1953,"B.pascuorum","Austria",5.35666666666667
1953,"B.pratorum","Austria",5.16
1953,"B.pratorum","England",5.41666666666667
1954,"B.hortorum","England",5.82666666666667
1954,"B.lapidarius","England",6.1575
1954,"B.pascuorum","Belgium",4.96
1954,"B.pascuorum","England",5.2425
1954,"B.pratorum","England",5.26
1955,"B.hortorum","Austria",5.96125
1955,"B.hortorum","England",5.745
1955,"B.lapidarius","Austria",6.24333333333333
1955,"B.lapidarius","Belgium",6.20666666666667
1955,"B.lapidarius","England",5.96333333333333
1955,"B.pratorum","England",5.4
1956,"B.lapidarius","Austria",6.18666666666667
1956,"B.pascuorum","England",5.272
1957,"B.hortorum","Austria",6.01333333333333
1957,"B.pascuorum","England",5.25
1957,"B.pratorum","Belgium",5.25666666666667
1957,"B.pratorum","England",5.50333333333333
1958,"B.hortorum","Austria",5.77625
1958,"B.hortorum","England",5.6875
1958,"B.lapidarius","England",5.875
1958,"B.pascuorum","Belgium",5.196
1959,"B.lapidarius","Austria",6.23333333333333
1959,"B.pratorum","Austria",5.47
1959,"B.pratorum","England",5.39
1960,"B.pascuorum","England",5.34666666666667
1960,"B.pratorum","England",5.39666666666667
1961,"B.lapidarius","Austria",6.04
1961,"B.lapidarius","England",5.884
1961,"B.pascuorum","Belgium",4.96666666666667
1961,"B.pratorum","England",5.43
1962,"B.hortorum","Austria",6.1
1962,"B.hortorum","England",5.62666666666667
1962,"B.pascuorum","England",5.26875
1963,"B.hortorum","England",5.70625
1963,"B.lapidarius","Belgium",6.21
1963,"B.lapidarius","England",5.93333333333333
1963,"B.pascuorum","Belgium",5.13833333333333
1963,"B.pascuorum","England",5.32666666666667
1963,"B.pratorum","Austria",5.305
1963,"B.pratorum","Belgium",5.30666666666667
1963,"B.pratorum","England",5.40666666666667
1964,"B.hortorum","England",5.495
1964,"B.lapidarius","Austria",6.18333333333333
1965,"B.hortorum","England",5.635
1965,"B.lapidarius","Austria",6.32333333333333
1965,"B.pascuorum","England",5.21666666666667
1966,"B.lapidarius","England",6.00333333333333
1966,"B.pratorum","Belgium",5.27666666666667
1966,"B.pratorum","England",5.48
1967,"B.hortorum","England",5.42
1967,"B.pascuorum","Belgium",5.23
1967,"B.pratorum","Austria",5.31333333333333
1967,"B.pratorum","England",5.44
1968,"B.hortorum","Austria",5.88333333333333
1968,"B.lapidarius","Austria",6.284
1968,"B.lapidarius","England",6.2925
1969,"B.hortorum","England",5.54333333333333
1969,"B.pascuorum","England",5.25
1970,"B.lapidarius","England",5.85333333333333
1970,"B.pascuorum","Belgium",5.11666666666667
1971,"B.lapidarius","Austria",5.79333333333333
