tree,date,EC.count,JR.count,total.count,year
HF22,8/27/2014,0,0,0,2014
HF23,8/27/2014,0,0,0,2014
HF33,8/27/2014,0,0,0,2014
HF35,8/27/2014,0,0,0,2014
HF38,8/27/2014,10,0,10,2014
HF40,8/27/2014,0,0,0,2014
HF41,8/27/2014,0,0,0,2014
HF43,8/27/2014,0,0,0,2014
HF1,9/22/2015,0,4,4,2015
HF4,9/22/2015,19,18,37,2015
HF5,9/22/2015,0,5,5,2015
HF6,9/22/2015,0,0,0,2015
HF7,9/22/2015,0,16,16,2015
HF9,9/22/2015,0,0,0,2015
HF10,9/22/2015,0,0,0,2015
HF12,9/22/2015,0,0,0,2015
HF13,9/22/2015,0,0,0,2015
HF16,9/22/2015,0,0,0,2015
HF18,9/22/2015,9,0,9,2015
HF21,9/22/2015,0,0,0,2015
HF22,9/22/2015,0,0,0,2015
HF23,9/22/2015,0,0,0,2015
HF33,9/22/2015,0,0,0,2015
HF35,9/22/2015,0,0,0,2015
HF38,9/22/2015,3,6,9,2015
HF40,9/22/2015,0,0,0,2015
HF41,9/22/2015,0,0,0,2015
HF43,9/22/2015,0,0,0,2015
HF1,10/3/2016,4,0,4,2016
HF4,10/3/2016,11,0,11,2016
HF5,10/3/2016,0,17,17,2016
HF6,10/3/2016,0,0,0,2016
HF7,10/3/2016,0,0,0,2016
HF9,10/3/2016,0,0,0,2016
HF10,10/3/2016,0,0,0,2016
HF12,10/3/2016,0,0,0,2016
HF13,10/3/2016,7,13,20,2016
HF16,10/3/2016,0,0,0,2016
HF18,10/3/2016,0,0,0,2016
HF21,10/3/2016,0,0,0,2016
HF22,10/3/2016,0,0,0,2016
HF23,10/3/2016,6,0,6,2016
HF33,10/3/2016,0,0,0,2016
HF35,10/3/2016,0,0,0,2016
HF38,10/3/2016,3,0,3,2016
HF40,10/3/2016,0,0,0,2016
HF41,10/3/2016,0,0,0,2016
HF43,10/3/2016,0,0,0,2016
HF1,9/16/2017,35,35,70,2017
HF4,9/16/2017,36,33,69,2017
HF5,9/16/2017,6,10,16,2017
HF6,9/16/2017,0,6,6,2017
HF7,9/16/2017,39,38,77,2017
HF9,9/16/2017,23,28,51,2017
HF10,9/16/2017,0,0,0,2017
HF12,9/16/2017,22,30,52,2017
HF13,9/16/2017,31,37,68,2017
HF16,9/16/2017,23,26,49,2017
HF18,9/16/2017,25,28,53,2017
HF21,9/16/2017,0,0,0,2017
HF22,9/16/2017,37,35,72,2017
HF23,9/16/2017,38,34,72,2017
HF33,9/16/2017,20,34,54,2017
HF35,9/16/2017,0,0,0,2017
HF38,9/16/2017,35,26,61,2017
HF40,9/16/2017,4,0,4,2017
HF41,9/16/2017,26,27,53,2017
HF43,9/16/2017,19,31,50,2017
HF1,9/20/2018,0,0,0,2018
HF4,9/20/2018,0,0,0,2018
HF5,9/20/2018,0,0,0,2018
HF6,9/20/2018,0,0,0,2018
HF7,9/20/2018,0,0,0,2018
HF9,9/20/2018,0,0,0,2018
HF10,9/20/2018,0,0,0,2018
HF12,9/20/2018,0,0,0,2018
HF13,9/20/2018,0,0,0,2018
HF16,9/20/2018,0,0,0,2018
HF18,9/20/2018,0,0,0,2018
HF21,9/20/2018,0,0,0,2018
HF22,9/20/2018,0,0,0,2018
HF23,9/20/2018,0,0,0,2018
HF33,9/20/2018,0,0,0,2018
HF35,9/20/2018,0,0,0,2018
HF38,9/20/2018,0,0,0,2018
HF40,9/20/2018,0,0,0,2018
HF41,9/20/2018,0,0,0,2018
HF43,9/20/2018,0,0,0,2018
HF1,7-Sep,21,24,45,2019
HF4,7-Sep,30,35,65,2019
HF5,7-Sep,0,32,32,2019
HF6,7-Sep,0,9,9,2019
HF7,7-Sep,0,0,0,2019
HF9,7-Sep,31,21,52,2019
HF10,7-Sep,0,0,0,2019
HF12,7-Sep,0,0,0,2019
HF13,7-Sep,27,40,67,2019
HF16,7-Sep,3,19,22,2019
HF18,7-Sep,38,30,68,2019
HF21,7-Sep,35,1,36,2019
HF22,7-Sep,0,0,0,2019
HF23,7-Sep,34,33,67,2019
HF33,7-Sep,34,2,36,2019
HF35,7-Sep,0,0,0,2019
HF38,7-Sep,33,38,71,2019
HF40,7-Sep,0,0,0,2019
HF41,7-Sep,0,0,0,2019
HF43,7-Sep,22,7,29,2019
